Line,Month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Airport,January,120887,135250,153272,179811,195138,203346,224524,225887,257410,289114,326530,433108,489187
Airport,February,117209,130635,147415,171025,184186,186165,210591,255976,228874,278666,303362,426656,441151
Airport,March,133622,137479,161572,168950,211464,205675,251239,260210,252313,304205,380741,462781,519740
Airport,April,132109,125995,146076,178332,197139,202082,229127,247598,244973,298403,368528,431140,469742
Airport,May,126720,122552,147752,163628,179616,200653,225811,248188,239019,278368,354497,405453,487343
Airport,June,110945,115272,148200,168069,176235,189063,207645,238203,228607,268729,357733,395189,473136
Airport,July,146005,135081,174533,187017,208779,209529,252770,285813,266403,324678,369954,450152,543729
Airport,August,133934,127946,165088,193947,199491,213175,229393,242184,259554,303310,388845,463512,531843
Airport,September,123941,129344,160148,178682,197716,203993,217019,240431,250051,311320,375589,466587,488851
Airport,October,124658,134431,182777,187913,197644,216055,240424,247271,269215,308385,411940,486456,548765
Airport,November,119862,137072,194794,180471,200036,234123,235948,253160,286114,319949,417624,499817,559340
Airport,December,127133,145251,192758,204076,208915,239431,247329,247941,300613,358744,441344,482952,578588
Bankstown,January,1325144,1265660,952915,928522,851554,991432,1138737,1295335,1264771,1185930,1218510,1248075,1219678
Bankstown,February,1299624,1168056,1149778,1124874,1075304,1089792,1139377,1297959,1273352,1237390,1239623,1307581,1224380
Bankstown,March,1481305,1350217,1384425,1339501,1223434,1299262,1344863,1450421,1515409,1501061,1514798,1506782,1459304
Bankstown,April,1367500,1359817,1246373,1205924,1188930,1139459,1261343,1443435,1391883,1345925,1322757,1344982,1340350
Bankstown,May,1478905,1348539,1307970,1287097,1274859,1344509,1380985,1472972,1444502,1439122,1438762,1482623,1445681
Bankstown,June,1223410,1176056,1276810,1215413,1150856,1170198,1206904,1347178,1322551,1334339,1338907,1318639,1277053
Bankstown,July,1428301,1334663,1321330,1235924,1175843,1163644,1327270,1421409,1386730,1363649,1353440,1378012,1340569
Bankstown,August,1428058,1326955,1318010,1305629,1282334,1304915,1379470,1463636,1421346,1409883,1412239,1443117,1425669
Bankstown,September,1295937,1298125,1363824,1230381,1207156,1197774,1260207,1448577,1386953,1400800,1415072,1379048,1398350
Bankstown,October,1431913,1327713,1339142,1212424,1222367,1277725,1449844,1478777,1408378,1393051,1388055,1381454,1453765
Bankstown,November,1296074,1243287,1265372,1231038,1209700,1213083,1347200,1410241,1351855,1381316,1386810,1367370,1356860
Bankstown,December,1187951,1151735,1209182,1123341,1068244,1083073,1221090,1354576,1282906,1317254,1327306,1262142,1304422
Blue Mountains,January,222787,214222,226459,220509,216824,219519,223052,215413,204263,193833,195493,196699,190267
Blue Mountains,February,214597,205840,215633,208798,213738,214963,208231,216534,202305,199466,200886,213542,193402
Blue Mountains,March,242070,241751,254837,244335,246165,248355,235694,239208,240611,236437,238145,246842,225804
Blue Mountains,April,237757,249318,231211,238315,236555,230532,229124,239379,227272,223057,211325,222080,211321
Blue Mountains,May,240789,238109,232835,236119,236964,245775,236655,229507,223576,223496,227315,231492,221325
Blue Mountains,June,196113,216043,224228,229209,220314,221587,210777,225574,209891,209381,210025,206249,197669
Blue Mountains,July,236513,239555,239541,226629,220889,228353,228070,227747,214481,213310,208449,212470,204105
Blue Mountains,August,233206,230163,228642,235459,238349,233375,224220,227777,217760,210706,220482,220123,209131
Blue Mountains,September,220154,230238,241773,225472,229741,214726,205730,226728,211849,213789,216935,210377,198178
